district,property_type,built_area_sqft,plot_area_sqft,bedrooms,bathrooms,age_of_property_yrs,sale_price_rs,latitude,longitude,ownership_type,distance_to_city_center_km,nearest_school_distance_km,metro_distance_km,flood_risk_score,road_access_width_ft,district_taluk
Ariyalur,house,3574,8800.48,5,4,14,12186549.66,10.14409,78.59775,freehold,15.17,2.4,8.9,0.41,20,Ariyalur_Taluk_9
Ariyalur,flat,1882,1882.0,3,2,35,3891997.11,11.90469,76.67413,freehold,16.45,1.51,23.05,0.24,39,Ariyalur_Taluk_6
Ariyalur,flat,3253,3253.0,5,4,32,7512354.36,12.77901,77.94448,freehold,13.36,4.89,12.28,0.52,51,Ariyalur_Taluk_2
Ariyalur,plot,2447,3908.79,4,5,46,5039487.02,11.71895,79.16692,freehold,9.87,9.85,16.67,0.14,46,Ariyalur_Taluk_3
Ariyalur,flat,1046,1046.0,1,1,38,1951550.44,8.98237,77.94193,leasehold,23.58,6.07,14.64,0.42,35,Ariyalur_Taluk_3
Ariyalur,flat,3012,3012.0,4,5,6,10766371.3,11.79692,79.70284,freehold,20.91,2.56,14.78,0.21,59,Ariyalur_Taluk_9
Ariyalur,plot,3859,6412.23,5,5,5,11980941.88,8.45742,79.96992,freehold,14.41,1.28,26.06,0.46,53,Ariyalur_Taluk_1
Ariyalur,commercial,561,927.83,1,1,35,1380771.95,13.03856,78.24364,freehold,23.09,1.8,9.9,0.22,49,Ariyalur_Taluk_4
Ariyalur,plot,3167,6795.81,3,3,46,7000603.69,10.41354,78.71743,freehold,9.24,3.53,18.57,0.6,50,Ariyalur_Taluk_9
Ariyalur,commercial,1580,1939.09,1,1,0,4759576.46,8.35443,76.91667,freehold,10.87,4.55,12.34,0.5,20,Ariyalur_Taluk_3
Ariyalur,house,1922,3149.53,2,3,34,5095747.66,11.3178,78.27859,freehold,2.31,4.23,7.9,0.38,16,Ariyalur_Taluk_7
Ariyalur,house,600,1232.64,1,1,32,1255051.73,10.99964,77.51394,freehold,8.12,3.93,23.24,0.16,49,Ariyalur_Taluk_1
Ariyalur,flat,3173,3173.0,3,4,0,11107846.66,10.55011,80.1245,leasehold,24.31,8.64,23.04,0.23,23,Ariyalur_Taluk_7
Ariyalur,flat,1270,1270.0,1,1,14,3888295.94,10.84148,76.90436,freehold,1.12,1.97,5.79,0.52,48,Ariyalur_Taluk_9
Ariyalur,flat,3712,3712.0,5,4,31,10030889.9,8.92533,79.39754,freehold,3.91,6.44,18.5,0.49,38,Ariyalur_Taluk_9
Ariyalur,house,1459,2828.3,1,2,50,2338747.69,10.73847,76.9251,freehold,23.28,8.27,20.84,0.59,15,Ariyalur_Taluk_9
Ariyalur,flat,1195,1195.0,2,2,10,3681274.25,8.4128,79.83644,leasehold,3.49,4.21,27.67,0.14,10,Ariyalur_Taluk_5
Ariyalur,house,1800,4444.52,2,2,12,6551467.38,10.97661,76.97789,freehold,0.67,5.6,15.44,0.57,46,Ariyalur_Taluk_8
Ariyalur,plot,3696,6796.0,4,4,43,6986282.31,11.37561,80.16458,leasehold,4.62,2.97,18.95,0.48,58,Ariyalur_Taluk_3
Ariyalur,plot,2253,3736.8,2,2,11,6669936.81,11.72711,77.919,leasehold,12.68,3.71,12.12,0.33,26,Ariyalur_Taluk_4
Ariyalur,flat,1098,1098.0,1,1,1,3846001.56,8.44574,76.57993,freehold,1.31,4.11,20.86,0.39,11,Ariyalur_Taluk_4
Ariyalur,house,1476,3086.28,2,2,31,3795447.49,8.41792,76.75612,freehold,15.02,1.73,14.24,0.27,26,Ariyalur_Taluk_1
Ariyalur,flat,1166,1166.0,2,1,33,2995151.47,9.60378,78.34458,freehold,13.63,1.81,25.88,0.46,15,Ariyalur_Taluk_9
Ariyalur,commercial,2911,4192.41,3,4,19,8075829.87,10.65405,78.04683,freehold,5.9,7.4,25.24,0.43,29,Ariyalur_Taluk_10
Ariyalur,commercial,3311,5547.72,4,3,32,7925686.37,12.76472,76.70585,freehold,13.18,8.54,21.89,0.42,34,Ariyalur_Taluk_6
Ariyalur,commercial,2369,5021.09,2,3,29,6587875.36,12.4232,76.91522,freehold,6.1,2.57,29.55,0.37,58,Ariyalur_Taluk_1
Ariyalur,commercial,2449,3323.01,3,3,11,8138460.98,10.59819,79.82305,freehold,22.12,2.7,11.97,0.5,28,Ariyalur_Taluk_3
Ariyalur,house,3263,3820.4,5,6,19,11024263.43,13.49613,79.6769,leasehold,19.61,6.78,7.1,0.56,17,Ariyalur_Taluk_9
Ariyalur,flat,1843,1843.0,3,3,34,4241014.9,10.29464,78.32916,leasehold,23.53,9.76,12.1,0.55,55,Ariyalur_Taluk_4
Ariyalur,commercial,737,812.92,1,1,34,1876826.13,10.20828,80.02077,freehold,5.99,7.41,10.93,0.24,30,Ariyalur_Taluk_3
Ariyalur,commercial,1215,1599.81,2,3,2,4603201.07,9.70222,80.1811,freehold,14.42,1.84,14.19,0.37,31,Ariyalur_Taluk_9
Ariyalur,house,3197,3741.13,4,4,37,7078111.72,10.67466,79.99367,freehold,22.36,6.68,24.87,0.13,39,Ariyalur_Taluk_6
Ariyalur,house,2731,6259.12,3,2,4,8645658.22,8.47002,76.75825,leasehold,12.73,6.15,24.21,0.3,26,Ariyalur_Taluk_9
Ariyalur,flat,3643,3643.0,5,5,28,8821810.37,11.22616,76.65102,freehold,22.15,7.73,28.83,0.43,38,Ariyalur_Taluk_10
Ariyalur,plot,2944,7090.89,4,3,30,8805446.25,9.203,79.22153,freehold,21.4,3.65,14.63,0.3,32,Ariyalur_Taluk_10
Ariyalur,commercial,1584,2443.55,2,3,17,4906433.75,12.16007,76.77566,freehold,23.44,7.26,19.25,0.6,33,Ariyalur_Taluk_5
Ariyalur,house,1025,1899.01,2,3,21,2808582.86,10.83178,77.00333,freehold,6.73,3.66,13.06,0.13,49,Ariyalur_Taluk_2
Ariyalur,plot,3864,5792.07,4,4,47,7631838.97,10.4662,78.56423,freehold,7.76,4.78,11.41,0.59,33,Ariyalur_Taluk_4
Ariyalur,house,924,1880.35,2,2,6,3177553.86,11.09485,80.04067,freehold,20.06,6.85,22.55,0.54,25,Ariyalur_Taluk_9
Ariyalur,house,3101,7273.7,4,5,22,7324838.06,12.10905,77.0907,freehold,14.68,4.95,21.8,0.21,34,Ariyalur_Taluk_5
Ariyalur,flat,974,974.0,2,1,21,2906382.69,11.81248,79.74107,freehold,1.25,1.34,25.57,0.23,52,Ariyalur_Taluk_6
Ariyalur,house,2891,5747.3,3,2,7,10795880.35,12.57848,76.66753,freehold,5.79,6.61,7.13,0.17,54,Ariyalur_Taluk_1
Ariyalur,flat,1391,1391.0,2,2,46,2945724.28,12.10265,78.59639,freehold,3.89,2.19,29.24,0.1,51,Ariyalur_Taluk_5
Ariyalur,flat,2093,2093.0,2,1,18,6136069.55,11.04619,79.67146,freehold,2.42,1.23,29.07,0.17,32,Ariyalur_Taluk_2
